Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Total_Agricultural_Land,Barren_Land
Rice,1997,Autumn     ,Assam,607358,398311,2051.4,57802260.86,188280.98,0.780869565,714538.8235,107180.8235
Rice,1997,Summer     ,Assam,174974,209623,2051.4,16652275.58,54241.94,1.060434783,205851.7647,30877.76471
Rice,1997,Winter     ,Assam,1743321,1647296,2051.4,165911859.6,540429.51,0.941304348,2050965.882,307644.8824
Sesamum,1997,Whole Year ,Assam,15765,8257,2051.4,1500355.05,4887.15,0.487391304,18547.05882,2782.058824
Small millets,1997,Kharif     ,Assam,10490,5391,2051.4,998333.3,3251.9,0.473,12341.17647,1851.176471
Sugarcane,1997,Kharif     ,Assam,31318,1287451,2051.4,2980534.06,9708.58,41.89695652,36844.70588,5526.705882
Sweet potato,1997,Whole Year ,Assam,9380,32618,2051.4,892694.6,2907.8,3.440434783,11035.29412,1655.294118
Tapioca,1997,Whole Year ,Assam,2465,11728,2051.4,234594.05,764.15,4.41826087,2900,435
Tobacco,1997,Whole Year ,Assam,433,26,2051.4,41208.61,134.23,0.38,509.4117647,76.41176471
Turmeric,1997,Whole Year ,Assam,10071,6974,2051.4,958457.07,3122.01,0.67,11848.23529,1777.235294
Wheat,1997,Rabi       ,Assam,84698,110054,2051.4,8060708.66,26256.38,1.25952381,99644.70588,14946.70588
Arecanut,1997,Whole Year ,Karnataka,93100,133342,1266.7,8860327,28861,1.293571429,109529.4118,16429.41176
Arhar/Tur,1997,Kharif     ,Karnataka,421810,98473,1266.7,40143657.7,130761.1,0.268235294,496247.0588,74437.05882
Bajra,1997,Kharif     ,Karnataka,301149,132056,1266.7,28660350.33,93356.19,0.404545455,354292.9412,53143.94118
Bajra,1997,Summer     ,Karnataka,820,662,1266.7,78039.4,254.2,0.81,964.7058824,144.7058824
Black pepper,1997,Kharif     ,Karnataka,3825,924,1266.7,364025.25,1185.75,0.4375,4500,675
Cardamom,1997,Whole Year ,Karnataka,21230,1214,1266.7,2020459.1,6581.3,0.058571429,24976.47059,3746.470588
Coriander,1997,Whole Year ,Karnataka,17317,2853,1266.7,1648058.89,5368.27,0.121333333,20372.94118,3055.941176
Dry chillies,1997,Kharif     ,Karnataka,186579,139206,1266.7,17756723.43,57839.49,1.078333333,219504.7059,32925.70588
Dry chillies,1997,Rabi       ,Karnataka,4565,7895,1266.7,434451.05,1415.15,1.869444444,5370.588235,805.5882353
Garlic,1997,Whole Year ,Karnataka,5061,3799,1266.7,481655.37,1568.91,1.585,5954.117647,893.1176471
Ginger,1997,Kharif     ,Karnataka,3619,4745,1266.7,344420.23,1121.89,1.262307692,4257.647059,638.6470588
Groundnut,1997,Kharif     ,Karnataka,847666,525562,1266.7,80672373.22,262776.46,0.709411765,997254.1176,149588.1176
Groundnut,1997,Rabi       ,Karnataka,192416,181071,1266.7,18312230.72,59648.96,1.133333333,226371.7647,33955.76471
Horse-gram,1997,Kharif     ,Karnataka,178872,80124,1266.7,17023248.24,55450.32,0.45,210437.6471,31565.64706
Horse-gram,1997,Rabi       ,Karnataka,163173,82572,1266.7,15529174.41,50583.63,0.514705882,191968.2353,28795.23529
Jowar,1997,Kharif     ,Karnataka,389690,516093,1266.7,37086797.3,120803.9,1.228,458458.8235,68768.82353
Jowar,1997,Rabi       ,Karnataka,1501172,722773,1266.7,142866539.2,465363.32,0.510714286,1766084.706,264912.7059
Jowar,1997,Summer     ,Karnataka,6137,15135,1266.7,584058.29,1902.47,2.470909091,7220,1083
Maize,1997,Kharif     ,Karnataka,502797,1391132,1266.7,47851190.49,155867.07,2.687777778,591525.8824,88728.88235
Maize,1997,Rabi       ,Karnataka,48844,98932,1266.7,4648483.48,15141.64,1.98,57463.52941,8619.529412
Maize,1997,Summer     ,Karnataka,9730,20893,1266.7,926004.1,3016.3,2.165714286,11447.05882,1717.058824
Ragi,1997,Kharif     ,Karnataka,897921,1214282,1266.7,85455141.57,278355.51,1.191333333,1056377.647,158456.6471
Ragi,1997,Rabi       ,Karnataka,27104,33696,1266.7,2579487.68,8402.24,1.312222222,31887.05882,4783.058824
Ragi,1997,Summer     ,Karnataka,13521,25035,1266.7,1286793.57,4191.51,1.847777778,15907.05882,2386.058824
Rice,1997,Kharif     ,Karnataka,1031530,2340493,1266.7,98170710.1,319774.3,2.2335,1213564.706,182034.7059
Rice,1997,Rabi       ,Karnataka,53889,109350,1266.7,5128616.13,16705.59,2.073846154,63398.82353,9509.823529
Rice,1997,Summer     ,Karnataka,268044,762759,1266.7,25509747.48,83093.64,2.829444444,315345.8824,47301.88235
Sugarcane,1997,Whole Year ,Karnataka,308857,28999269,1266.7,29393920.69,95745.67,91.74736842,363361.1765,54504.17647
Turmeric,1997,Whole Year ,Karnataka,4342,24108,1266.7,413228.14,1346.02,4.452941176,5108.235294,766.2352941
Wheat,1997,Rabi       ,Karnataka,250698,118512,1266.7,23858928.66,77716.38,0.548333333,294938.8235,44240.82353
Arecanut,1997,Whole Year ,Kerala,76145,93995,3252.4,7246719.65,23604.95,1.147857143,89582.35294,13437.35294
Black pepper,1997,Whole Year ,Kerala,173855,55520,3252.4,16545780.35,53895.05,0.240714286,204535.2941,30680.29412
Cashewnut,1997,Whole Year ,Kerala,96073,74142,3252.4,9143267.41,29782.63,0.589285714,113027.0588,16954.05882
Coconut ,1997,Whole Year ,Kerala,884344,5210000000,3252.4,84163018.48,274146.64,5376.054286,1040404.706,156060.7059
Tapioca,1997,Whole Year ,Kerala,132875,2841819,3252.4,12645713.75,41191.25,22.80357143,156323.5294,23448.52941
Arecanut,1997,Whole Year ,Meghalaya,9569,12116,3818.2,910681.73,2966.39,1.245714286,11257.64706,1688.647059
Arhar/Tur,1997,Kharif     ,Meghalaya,865,683,3818.2,82322.05,268.15,0.806666667,1017.647059,152.6470588
Banana,1997,Whole Year ,Meghalaya,5239,63011,3818.2,498595.63,1624.09,11.20714286,6163.529412,924.5294118
Castor seed,1997,Rabi       ,Meghalaya,30,15,3818.2,2855.1,9.3,0.49,35.29411765,5.294117647
Cotton(lint),1997,Kharif     ,Meghalaya,7544,5590,3818.2,717962.48,2338.64,0.796666667,8875.294118,1331.294118
Dry chillies,1997,Whole Year ,Meghalaya,1766,1106,3818.2,168070.22,547.46,0.64,2077.647059,311.6470588
Ginger,1997,Kharif     ,Meghalaya,7357,45260,3818.2,700165.69,2280.67,6.054285714,8655.294118,1298.294118
Gram,1997,Rabi       ,Meghalaya,443,270,3818.2,42160.31,137.33,0.613333333,521.1764706,78.17647059
Jute,1997,Kharif     ,Meghalaya,4243,34683,3818.2,403806.31,1315.33,8.436666667,4991.764706,748.7647059
Linseed,1997,Kharif     ,Meghalaya,50,22,3818.2,4758.5,15.5,0.44,58.82352941,8.823529412
Maize,1997,Kharif     ,Meghalaya,17175,24878,3818.2,1634544.75,5324.25,1.444285714,20205.88235,3030.882353
Mesta,1997,Kharif     ,Meghalaya,4688,21558,3818.2,446156.96,1453.28,4.68,5515.294118,827.2941176
Mesta,1997,Whole Year ,Meghalaya,861,713,3818.2,81941.37,266.91,0.7525,1012.941176,151.9411765
Other  Rabi pulses,1997,Rabi       ,Meghalaya,1909,1511,3818.2,181679.53,591.79,0.777142857,2245.882353,336.8823529
Potato,1997,Whole Year ,Meghalaya,20764,200509,3818.2,1976109.88,6436.84,8.641428571,24428.23529,3664.235294
Rapeseed &Mustard,1997,Rabi       ,Meghalaya,6914,4467,3818.2,658005.38,2143.34,0.608571429,8134.117647,1220.117647
Rice,1997,Kharif     ,Meghalaya,105170,150101,3818.2,10009028.9,32602.7,1.378571429,123729.4118,18559.41176
Sesamum,1997,Kharif     ,Meghalaya,1326,688,3818.2,126195.42,411.06,0.575714286,1560,234
Small millets,1997,Kharif     ,Meghalaya,2804,2237,3818.2,266856.68,869.24,0.861428571,3298.823529,494.8235294
Soyabean,1997,Kharif     ,Meghalaya,898,814,3818.2,85462.66,278.38,0.921428571,1056.470588,158.4705882
Sugarcane,1997,Whole Year ,Meghalaya,82,225,3818.2,7803.94,25.42,2.352,96.47058824,14.47058824
Sweet potato,1997,Whole Year ,Meghalaya,5212,16978,3818.2,496026.04,1615.72,3.221428571,6131.764706,919.7647059
Tapioca,1997,Whole Year ,Meghalaya,3959,21087,3818.2,376778.03,1227.29,6.537142857,4657.647059,698.6470588
Tobacco,1997,Rabi       ,Meghalaya,742,505,3818.2,70616.14,230.02,0.618,872.9411765,130.9411765
Turmeric,1997,Whole Year ,Meghalaya,1401,7126,3818.2,133333.17,434.31,5.425714286,1648.235294,247.2352941
Wheat,1997,Rabi       ,Meghalaya,4287,6894,3818.2,407993.79,1328.97,1.385,5043.529412,756.5294118
Arecanut,1997,Whole Year ,West Bengal,8058,12423,1852.9,766879.86,2497.98,1.691764706,9480,1422
Arhar/Tur,1997,Whole Year ,West Bengal,3630,2181,1852.9,345467.1,1125.3,0.777692308,4270.588235,640.5882353
Bajra,1997,Kharif     ,West Bengal,207,95,1852.9,19700.19,64.17,0.426666667,243.5294118,36.52941176
Barley,1997,Whole Year ,West Bengal,6116,5034,1852.9,582059.72,1895.96,1.68,7195.294118,1079.294118
Cardamom,1997,Whole Year ,West Bengal,2674,7,1852.9,254484.58,828.94,0,3145.882353,471.8823529
Castor seed,1997,Whole Year ,West Bengal,660,46,1852.9,62812.2,204.6,0.07,776.4705882,116.4705882
Coconut ,1997,Whole Year ,West Bengal,24273,306202300,1852.9,2310061.41,7524.63,13003.78778,28556.47059,4283.470588
Cotton(lint),1997,Kharif     ,West Bengal,26000,52000,1852.9,2474420,8060,2,30588.23529,4588.235294
Dry chillies,1997,Whole Year ,West Bengal,64034,55569,1852.9,6094115.78,19850.54,0.942777778,75334.11765,11300.11765
Gram,1997,Rabi       ,West Bengal,25485,16994,1852.9,2425407.45,7900.35,0.5975,29982.35294,4497.352941
Groundnut,1997,Whole Year ,West Bengal,29615,38672,1852.9,2818459.55,9180.65,1.13,34841.17647,5226.176471
Horse-gram,1997,Kharif     ,West Bengal,5645,2556,1852.9,537234.65,1749.95,0.438888889,6641.176471,996.1764706
Jowar,1997,Whole Year ,West Bengal,948,450,1852.9,90221.16,293.88,0.482,1115.294118,167.2941176
Jute,1997,Kharif     ,West Bengal,641574,7549700,1852.9,61058597.58,198887.94,13.44588235,754792.9412,113218.9412
Khesari,1997,Rabi       ,West Bengal,25261,28460,1852.9,2404089.37,7830.91,1.095882353,29718.82353,4457.823529
Linseed,1997,Whole Year ,West Bengal,16486,4210,1852.9,1568972.62,5110.66,0.251538462,19395.29412,2909.294118
Maize,1997,Whole Year ,West Bengal,35469,130390,1852.9,3375584.73,10995.39,2.658461538,41728.23529,6259.235294
Masoor,1997,Rabi       ,West Bengal,51202,35040,1852.9,4872894.34,15872.62,0.662352941,60237.64706,9035.647059
Mesta,1997,Kharif     ,West Bengal,9689,89000,1852.9,922102.13,3003.59,9.154166667,11398.82353,1709.823529
Moong(Green Gram),1997,Kharif     ,West Bengal,1490,711,1852.9,141803.3,461.9,0.548888889,1752.941176,262.9411765
Moong(Green Gram),1997,Rabi       ,West Bengal,3269,1710,1852.9,311110.73,1013.39,0.542857143,3845.882353,576.8823529
Moong(Green Gram),1997,Summer     ,West Bengal,9959,303,1852.9,947798.03,3087.29,0.046,11716.47059,1757.470588
Niger seed,1997,Rabi       ,West Bengal,50808100,38657300,1852.9,4835406877,15750511,0.698888889,59774235.29,8966135.294
Niger seed,1997,Whole Year ,West Bengal,6512,3522,1852.9,619747.04,2018.72,0.40375,7661.176471,1149.176471
Other Kharif pulses,1997,Kharif     ,West Bengal,1279,725,1852.9,121722.43,396.49,0.585,1504.705882,225.7058824
Potato,1997,Whole Year ,West Bengal,284015,5581553,1852.9,27029707.55,88044.65,18.23722222,334135.2941,50120.29412
Ragi,1997,Autumn     ,West Bengal,12607,15330,1852.9,1199808.19,3908.17,0.986,14831.76471,2224.764706
Rapeseed &Mustard,1997,Whole Year ,West Bengal,327123,250950,1852.9,31132295.91,101408.13,0.718333333,384850.5882,57727.58824
Rice,1997,Autumn     ,West Bengal,423121,751970,1852.9,40268425.57,131167.51,1.837222222,497789.4118,74668.41176
Rice,1997,Summer     ,West Bengal,1206829,3569520,1852.9,114853915.9,374116.99,2.843888889,1419798.824,212969.8235
Rice,1997,Winter     ,West Bengal,4270328,8915100,1852.9,406407115.8,1323801.68,1.985555556,5023915.294,753587.2941
Safflower,1997,Whole Year ,West Bengal,10800,3000,1852.9,1027836,3348,0.2975,12705.88235,1905.882353
Sannhamp,1997,Whole Year ,West Bengal,2015,9073,1852.9,191767.55,624.65,4.598571429,2370.588235,355.5882353
Sesamum,1997,Whole Year ,West Bengal,127913,88943,1852.9,12173480.21,39653.03,0.649444444,150485.8824,22572.88235
Small millets,1997,Whole Year ,West Bengal,5046,3222,1852.9,480227.82,1564.26,0.626666667,5936.470588,890.4705882
Soyabean,1997,Kharif     ,West Bengal,1555,1172,1852.9,147989.35,482.05,1.196666667,1829.411765,274.4117647
Sugarcane,1997,Whole Year ,West Bengal,25797,1818700,1852.9,2455100.49,7997.07,67.83625,30349.41176,4552.411765
Sunflower,1997,Whole Year ,West Bengal,278,1,1852.9,26457.26,86.18,0,327.0588235,49.05882353
Turmeric,1997,Whole Year ,West Bengal,12481,23556,1852.9,1187816.77,3869.11,1.661111111,14683.52941,2202.529412
Urad,1997,Kharif     ,West Bengal,69271,44480,1852.9,6592521.07,21474.01,1.825,81495.29412,12224.29412
Urad,1997,Rabi       ,West Bengal,16694,10553,1852.9,1588767.98,5175.14,0.628333333,19640,2946
Wheat,1997,Rabi       ,West Bengal,367374,810480,1852.9,34962983.58,113885.94,1.886666667,432204.7059,64830.70588
Arecanut,1998,Kharif     ,Puducherry,66,23,1434.5875,6520.8,19.14,0.35,77.64705882,11.64705882
Bajra,1998,Kharif     ,Puducherry,149,324,1434.5875,14721.2,43.21,2.17,175.2941176,26.29411765
Black pepper,1998,Kharif     ,Puducherry,12,7,1434.5875,1185.6,3.48,0.58,14.11764706,2.117647059
Coriander,1998,Kharif     ,Puducherry,2,1,1434.5875,197.6,0.58,0.5,2.352941176,0.352941176
Cotton(lint),1998,Summer     ,Puducherry,453,372,1434.5875,44756.4,131.37,0.84,532.9411765,79.94117647
Dry chillies,1998,Kharif     ,Puducherry,8,23,1434.5875,790.4,2.32,2.75,9.411764706,1.411764706
Groundnut,1998,Rabi       ,Puducherry,1046,2062,1434.5875,103344.8,303.34,1.54,1230.588235,184.5882353
Onion,1998,Kharif     ,Puducherry,26,429,1434.5875,2568.8,7.54,16.5,30.58823529,4.588235294
Ragi,1998,Kharif     ,Puducherry,112,366,1434.5875,11065.6,32.48,3.27,131.7647059,19.76470588
Rice,1998,Kharif     ,Puducherry,4945,11518,1434.5875,488566,1434.05,2.46,5817.647059,872.6470588
Rice,1998,Rabi       ,Puducherry,13961,30220,1434.5875,1379346.8,4048.69,2.555,16424.70588,2463.705882
Rice,1998,Summer     ,Puducherry,5716,14863,1434.5875,564740.8,1657.64,2.55,6724.705882,1008.705882
Sesamum,1998,Kharif     ,Puducherry,147,120,1434.5875,14523.6,42.63,0.806666667,172.9411765,25.94117647
Small millets,1998,Kharif     ,Puducherry,4,3,1434.5875,395.2,1.16,0.75,4.705882353,0.705882353
Sugarcane,1998,Kharif     ,Puducherry,2710,232369,1434.5875,267748,785.9,82.595,3188.235294,478.2352941
Tapioca,1998,Kharif     ,Puducherry,649,19110,1434.5875,64121.2,188.21,20,763.5294118,114.5294118
Arecanut,1998,Whole Year ,Assam,74457,55355,2354.4,7356351.6,21592.53,0.784347826,87596.47059,13139.47059
Arhar/Tur,1998,Kharif     ,Assam,7657,5389,2354.4,756511.6,2220.53,0.709130435,9008.235294,1351.235294
Banana,1998,Whole Year ,Assam,41885,581884,2354.4,4138238,12146.65,13.78826087,49276.47059,7391.470588
Castor seed,1998,Kharif     ,Assam,1728,708,2354.4,170726.4,501.12,0.411428571,2032.941176,304.9411765
Coconut ,1998,Whole Year ,Assam,20166,149866000,2354.4,1992400.8,5848.14,6045.886957,23724.70588,3558.705882
Cotton(lint),1998,Kharif     ,Assam,1652,751,2354.4,163217.6,479.08,0.399130435,1943.529412,291.5294118
Dry chillies,1998,Whole Year ,Assam,14724,9690,2354.4,1454731.2,4269.96,0.636956522,17322.35294,2598.352941
Gram,1998,Rabi       ,Assam,3002,1503,2354.4,296597.6,870.58,0.460454545,3531.764706,529.7647059
Jute,1998,Kharif     ,Assam,78702,687173,2354.4,7775757.6,22823.58,9.040869565,92590.58824,13888.58824
Linseed,1998,Rabi       ,Assam,10222,5212,2354.4,1009933.6,2964.38,0.480909091,12025.88235,1803.882353
Maize,1998,Kharif     ,Assam,19810,13965,2354.4,1957228,5744.9,0.608695652,23305.88235,3495.882353
Mesta,1998,Kharif     ,Assam,5260,25623,2354.4,519688,1525.4,4.9105,6188.235294,928.2352941
Niger seed,1998,Kharif     ,Assam,8753,4478,2354.4,864796.4,2538.37,0.520555556,10297.64706,1544.647059
Onion,1998,Whole Year ,Assam,8083,18341,2354.4,798600.4,2344.07,2.340434783,9509.411765,1426.411765
Other  Rabi pulses,1998,Rabi       ,Assam,116141,62330,2354.4,11474730.8,33680.89,0.50826087,136636.4706,20495.47059
Potato,1998,Whole Year ,Assam,76958,611077,2354.4,7603450.4,22317.82,7.230434783,90538.82353,13580.82353
Rapeseed &Mustard,1998,Rabi       ,Assam,288829,135631,2354.4,28536305.2,83760.41,0.473478261,339798.8235,50969.82353
Rice,1998,Autumn     ,Assam,594979,520605,2354.4,58783925.2,172543.91,1.055652174,699975.2941,104996.2941
Rice,1998,Summer     ,Assam,223913,446114,2354.4,22122604.4,64934.77,1.685217391,263427.0588,39514.05882
Rice,1998,Winter     ,Assam,1635230,2288114,2354.4,161560724,474216.7,1.395652174,1923800,288570
Sesamum,1998,Kharif     ,Assam,15940,8210,2354.4,1574872,4622.6,0.485217391,18752.94118,2812.941176
Small millets,1998,Kharif     ,Assam,10547,5450,2354.4,1042043.6,3058.63,0.521363636,12408.23529,1861.235294
Sugarcane,1998,Whole Year ,Assam,30571,1223578,2354.4,3020414.8,8865.59,39.89304348,35965.88235,5394.882353
Sweet potato,1998,Whole Year ,Assam,9433,32437,2354.4,931980.4,2735.57,3.435652174,11097.64706,1664.647059
Tapioca,1998,Whole Year ,Assam,2798,13261,2354.4,276442.4,811.42,4.445217391,3291.764706,493.7647059
Tobacco,1998,Whole Year ,Assam,1465,732,2354.4,144742,424.85,0.569545455,1723.529412,258.5294118
Turmeric,1998,Whole Year ,Assam,10729,7416,2354.4,1060025.2,3111.41,0.666956522,12622.35294,1893.352941
Wheat,1998,Rabi       ,Assam,89591,90509,2354.4,8851590.8,25981.39,0.999545455,105401.1765,15810.17647
Arecanut,1998,Whole Year ,Goa,1500,1820,2964.9,148200,435,1.21,1764.705882,264.7058824
Banana,1998,Whole Year ,Goa,1900,14400,2964.9,187720,551,7.58,2235.294118,335.2941176
Black pepper,1998,Whole Year ,Goa,250,70,2964.9,24700,72.5,0.28,294.1176471,44.11764706
Cashewnut,1998,Whole Year ,Goa,52875,15000,2964.9,5224050,15333.75,0.28,62205.88235,9330.882353
Coconut ,1998,Whole Year ,Goa,24858,121000000,2964.9,2455970.4,7208.82,4867.65,29244.70588,4386.705882
Groundnut,1998,Kharif     ,Goa,350,412,2964.9,34580,101.5,1.18,411.7647059,61.76470588
Groundnut,1998,Rabi       ,Goa,1048,2124,2964.9,103542.4,303.92,2.03,1232.941176,184.9411765
Other  Rabi pulses,1998,Rabi       ,Goa,8671,9220,2964.9,856694.8,2514.59,1.06,10201.17647,1530.176471
Other Kharif pulses,1998,Kharif     ,Goa,1200,324,2964.9,118560,348,0.27,1411.764706,211.7647059
Ragi,1998,Kharif     ,Goa,2500,2476,2964.9,247000,725,0.99,2941.176471,441.1764706
Rice,1998,Kharif     ,Goa,41000,104249,2964.9,4050800,11890,2.54,48235.29412,7235.294118
Rice,1998,Rabi       ,Goa,15439,46925,2964.9,1525373.2,4477.31,3.04,18163.52941,2724.529412
Sugarcane,1998,Whole Year ,Goa,1320,64000,2964.9,130416,382.8,48.48,1552.941176,232.9411765
Arecanut,1998,Whole Year ,Karnataka,98047,648365,1260.8,9687043.6,28433.63,6.232,115349.4118,17302.41176
Arhar/Tur,1998,Kharif     ,Karnataka,475396,221453,1260.8,46969124.8,137864.84,0.400833333,559289.4118,83893.41176
Bajra,1998,Kharif     ,Karnataka,415816,282231,1260.8,41082620.8,120586.64,0.601764706,489195.2941,73379.29412
Bajra,1998,Rabi       ,Karnataka,451,536,1260.8,44558.8,130.79,1.19,530.5882353,79.58823529
Bajra,1998,Summer     ,Karnataka,846,498,1260.8,83584.8,245.34,0.59,995.2941176,149.2941176
Black pepper,1998,Whole Year ,Karnataka,4387,10342,1260.8,433435.6,1272.23,2.238,5161.176471,774.1764706
Cardamom,1998,Whole Year ,Karnataka,20218,1153,1260.8,1997538.4,5863.22,0.06,23785.88235,3567.882353
Castor seed,1998,Kharif     ,Karnataka,27246,23245,1260.8,2691904.8,7901.34,0.831818182,32054.11765,4808.117647
Coconut ,1998,Whole Year ,Karnataka,310399,1611530000,1260.8,30667421.2,90015.71,4692.261111,365175.2941,54776.29412
Coriander,1998,Whole Year ,Karnataka,17935,2982,1260.8,1771978,5201.15,0.118,21100,3165
Cotton(lint),1998,Kharif     ,Karnataka,636495,976876,1260.8,62885706,184583.55,1.556521739,748817.6471,112322.6471
Dry chillies,1998,Whole Year ,Karnataka,170319,146498,1260.8,16827517.2,49392.51,1.123703704,200375.2941,30056.29412
Garlic,1998,Whole Year ,Karnataka,3574,3034,1260.8,353111.2,1036.46,1.459411765,4204.705882,630.7058824
Ginger,1998,Kharif     ,Karnataka,3896,51169,1260.8,384924.8,1129.84,12.75944444,4583.529412,687.5294118
Gram,1998,Rabi       ,Karnataka,355326,202508,1260.8,35106208.8,103044.54,0.573478261,418030.5882,62704.58824
Groundnut,1998,Kharif     ,Karnataka,1012577,929016,1260.8,100042607.6,293647.33,0.8568,1191267.059,178690.0588
Groundnut,1998,Rabi       ,Karnataka,217445,263118,1260.8,21483566,63059.05,1.3052,255817.6471,38372.64706
Horse-gram,1998,Kharif     ,Karnataka,189486,90718,1260.8,18721216.8,54950.94,0.504615385,222924.7059,33438.70588
Horse-gram,1998,Rabi       ,Karnataka,134779,62084,1260.8,13316165.2,39085.91,0.4492,158563.5294,23784.52941
Jowar,1998,Kharif     ,Karnataka,420808,616645,1260.8,41575830.4,122034.32,1.305714286,495068.2353,74260.23529
Jowar,1998,Rabi       ,Karnataka,1420162,1003450,1260.8,140312005.6,411846.98,0.7235,1670778.824,250616.8235
Jowar,1998,Summer     ,Karnataka,8897,23144,1260.8,879023.6,2580.13,2.461333333,10467.05882,1570.058824
Linseed,1998,Rabi       ,Karnataka,19806,6441,1260.8,1956832.8,5743.74,0.315,23301.17647,3495.176471
Maize,1998,Kharif     ,Karnataka,450472,1542607,1260.8,44506633.6,130636.88,3.366,529967.0588,79495.05882
Maize,1998,Rabi       ,Karnataka,49922,101605,1260.8,4932293.6,14477.38,1.97952381,58731.76471,8809.764706
Maize,1998,Summer     ,Karnataka,11974,27080,1260.8,1183031.2,3472.46,2.241904762,14087.05882,2113.058824
Moong(Green Gram),1998,Kharif     ,Karnataka,311720,61227,1260.8,30797936,90398.8,0.180769231,366729.4118,55009.41176
Moong(Green Gram),1998,Rabi       ,Karnataka,15627,7005,1260.8,1543947.6,4531.83,0.438823529,18384.70588,2757.705882
Niger seed,1998,Kharif     ,Karnataka,41853,8104,1260.8,4135076.4,12137.37,0.214782609,49238.82353,7385.823529
Onion,1998,Kharif     ,Karnataka,79921,362053,1260.8,7896194.8,23177.09,5.363636364,94024.70588,14103.70588
Onion,1998,Rabi       ,Karnataka,8882,91057,1260.8,877541.6,2575.78,8.936315789,10449.41176,1567.411765
Onion,1998,Summer     ,Karnataka,4797,55339,1260.8,473943.6,1391.13,11.86631579,5643.529412,846.5294118
Peas & beans (Pulses),1998,Kharif     ,Karnataka,1730,15872,1260.8,170924,501.7,9.265882353,2035.294118,305.2941176
Peas & beans (Pulses),1998,Rabi       ,Karnataka,494,4882,1260.8,48807.2,143.26,8.948181818,581.1764706,87.17647059
Peas & beans (Pulses),1998,Summer     ,Karnataka,1583,13707,1260.8,156400.4,459.07,7.827,1862.352941,279.3529412
Potato,1998,Kharif     ,Karnataka,28755,317052,1260.8,2840994,8338.95,12.37333333,33829.41176,5074.411765
Potato,1998,Rabi       ,Karnataka,4173,82124,1260.8,412292.4,1210.17,18.90714286,4909.411765,736.4117647
Potato,1998,Summer     ,Karnataka,1137,19387,1260.8,112335.6,329.73,17.6,1337.647059,200.6470588
Potato,1998,Whole Year ,Karnataka,268,3910,1260.8,26478.4,77.72,14.59,315.2941176,47.29411765
Ragi,1998,Kharif     ,Karnataka,986173,1664767,1260.8,97433892.4,285990.17,1.418,1160203.529,174030.5294
Ragi,1998,Rabi       ,Karnataka,33833,45301,1260.8,3342700.4,9811.57,1.361,39803.52941,5970.529412
Ragi,1998,Summer     ,Karnataka,10673,24008,1260.8,1054492.4,3095.17,2.239230769,12556.47059,1883.470588
Rapeseed &Mustard,1998,Kharif     ,Karnataka,6673,1790,1260.8,659292.4,1935.17,0.210625,7850.588235,1177.588235
Rice,1998,Kharif     ,Karnataka,1079193,2599170,1260.8,106624268.4,312965.97,2.310740741,1269638.824,190445.8235
Rice,1998,Rabi       ,Karnataka,51782,106072,1260.8,5116061.6,15016.78,2.054285714,60920,9138
Rice,1998,Summer     ,Karnataka,295830,951569,1260.8,29228004,85790.7,2.99375,348035.2941,52205.29412
Safflower,1998,Rabi       ,Karnataka,97487,58727,1260.8,9631715.6,28271.23,0.616428571,114690.5882,17203.58824
